"package name","licenses","download url","license file","publisher","description","programming language","package version","publisher contact information"
"angular-resource","MIT","https://github.com/angular/angular.js","No File Found","angular","No Description Found","JavaScript","1.7.8","https://github.com/angular/angular.js"
"angular-marked","MIT","https://github.com/Hypercubed/angular-marked","No File Found","Hypercubed","AngularJS Markdown using marked.","JavaScript","No Info Found","https://github.com/Hypercubed/angular-marked"
"angular-sanitize","MIT","https://github.com/angular/angular.js","No File Found","angular","No Description Found","JavaScript","1.7.8","https://github.com/angular/angular.js"
"angular-mocks","MIT","https://github.com/angular/angular.js","No File Found","angular","No Description Found","JavaScript","1.7.8","https://github.com/angular/angular.js"
"angular-moment","MIT","ssh://git@github.com/urish/angular-moment","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/angular-moment\LICENSE","urish","Moment.JS directives & filters for AngularJS (timeago alternative)","JavaScript","No Info Found","ssh://git@github.com/urish/angular-moment"
"angular-touch","MIT","https://github.com/angular/angular.js","No File Found","angular","No Description Found","JavaScript","1.7.8","https://github.com/angular/angular.js"
"angular-timer","MIT","ssh://git@github.com/siddii/angular-timer","No File Found","siddii","Angular-Timer : A simple AngularJS directive demonstrating re-usability & interoperability","JavaScript","1.3.5","ssh://git@github.com/siddii/angular-timer"
"bootstrap-markdown","Apache-2.0, Apache*","https://github.com/toopay/bootstrap-markdown","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/bootstrap-markdown\LICENSE","toopay","No Description Found","JavaScript","2.10.0","https://github.com/toopay/bootstrap-markdown"
"es5-shim","MIT","ssh://git@github.com/es-shims/es5-shim","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/es5-shim\LICENSE","es-shims","ECMAScript 5 compatibility shims for legacy JavaScript engines","JavaScript","No Info Found","ssh://git@github.com/es-shims/es5-shim"
"css-spaces","MIT","https://github.com/badabam/css-spaces","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/css-spaces\LICENSE","badabam","A simple CSS spacing library for margins, paddings and more","JavaScript","No Info Found","https://github.com/badabam/css-spaces"
"jquery-ui","MIT","https://github.com/components/jqueryui","No File Found","components","No Description Found","JavaScript","1.12.1","https://github.com/components/jqueryui"
"ng-csv","MIT*","ssh://git@github.com/asafdav/ng-csv","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/ng-csv\LICENSE","asafdav","No Description Found","JavaScript","0.3.6","ssh://git@github.com/asafdav/ng-csv"
"roboto-fontface","Apache-2.0, Apache*","https://github.com/choffmeister/roboto-fontface-bower","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/roboto-fontface\LICENSE","choffmeister","A simple package providing the Roboto fontface.","JavaScript","0.10.0","https://github.com/choffmeister/roboto-fontface-bower"
"angular-base64-upload","MIT","https://github.com/adonespitogo/angular-base64-upload","No File Found","adonespitogo","Converts files from file input into base64 encoded models.","JavaScript","v0.1.23","https://github.com/adonespitogo/angular-base64-upload"
"angular-local-storage","MIT","https://github.com/grevory/angular-local-storage","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/angular-local-storage\LICENSE","grevory","An Angular module that gives you access to the browser's local storage","JavaScript","No Info Found","https://github.com/grevory/angular-local-storage"
"angular-ui-notification","MIT","https://github.com/alexcrack/angular-ui-notification","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/angular-ui-notification\LICENSE","alexcrack","Angular.js service providing simple notifications using Bootstrap 3 styles with css transitions for animating","JavaScript","0.3.6","https://github.com/alexcrack/angular-ui-notification"
"bootstrap","MIT","https://github.com/twbs/bootstrap","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/bootstrap\LICENSE","twbs","The most popular front-end framework for developing responsive, mobile first projects on the web.","JavaScript","No Info Found","https://github.com/twbs/bootstrap"
"bootstrap-sass","MIT","https://github.com/twbs/bootstrap-sass","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/bootstrap-sass\LICENSE","twbs","bootstrap-sass is a Sass-powered version of Bootstrap 3, ready to drop right into your Sass powered applications.","JavaScript","3.4.1","https://github.com/twbs/bootstrap-sass"
"es6-shim","MIT","https://github.com/paulmillr/es6-shim","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/es6-shim\LICENSE","paulmillr","ECMAScript 6 (Harmony) compatibility shims for legacy JavaScript engines","JavaScript","No Info Found","https://github.com/paulmillr/es6-shim"
"marked","MIT","https://github.com/markedjs/marked","No File Found","markedjs","A markdown parser built for speed","JavaScript","No Info Found","https://github.com/markedjs/marked"
"humanize-duration","Unlicense","https://github.com/EvanHahn/HumanizeDuration.js","No File Found","EvanHahn","Convert millisecond durations to English and many other languages.","JavaScript","3.10.1","https://github.com/EvanHahn/HumanizeDuration.js"
"smalot-bootstrap-datetimepicker","Apache 2.0, Apache*","https://github.com/smalot/bootstrap-datetimepicker","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/smalot-bootstrap-datetimepicker\LICENSE","smalot","No Description Found","JavaScript","No Info Found","https://github.com/smalot/bootstrap-datetimepicker"
"underscore.string","MIT","https://github.com/epeli/underscore.string","No File Found","epeli","String manipulation extensions for Underscore.js javascript library.","JavaScript","3.3.4","https://github.com/epeli/underscore.string"
"highlight.js.origin","BSD-3-Clause, MIT*","https://github.com/highlightjs/highlight.js","/Users/stnguyen90/Projects/TheHive/morganstanley/ui/bower_components/highlight.js.origin\LICENSE","highlightjs","No Description Found","JavaScript","9.15.10","https://github.com/highlightjs/highlight.js"
